MDLSCN	Category
AIM/CGE 2.0-ADVANCE_2020_1.5C-2100	15C
AIM/CGE 2.0-ADVANCE_2020_Med2C	excluded
AIM/CGE 2.0-ADVANCE_2020_WB2C	2C
AIM/CGE 2.0-ADVANCE_2030_Med2C	Above2C
AIM/CGE 2.0-ADVANCE_2030_Price1.5C	2C
AIM/CGE 2.0-ADVANCE_2030_WB2C	2C
AIM/CGE 2.0-ADVANCE_INDC	Above2C
AIM/CGE 2.0-ADVANCE_NoPolicy	Above2C
AIM/CGE 2.0-ADVANCE_Reference	Above2C
AIM/CGE 2.0-SFCM_SSP2_Bio_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_Bio_2Degree	Above2C
AIM/CGE 2.0-SFCM_SSP2_Bio_Baseline	Above2C
AIM/CGE 2.0-SFCM_SSP2_EEEI_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_EEEI_2Degree	excluded
AIM/CGE 2.0-SFCM_SSP2_EEEI_Baseline	Above2C
AIM/CGE 2.0-SFCM_SSP2_LifeStyle_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_LifeStyle_2Degree	excluded
AIM/CGE 2.0-SFCM_SSP2_LifeStyle_Baseline	Above2C
AIM/CGE 2.0-SFCM_SSP2_Ref_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_Ref_2Degree	Above2C
AIM/CGE 2.0-SFCM_SSP2_Ref_Baseline	Above2C
AIM/CGE 2.0-SFCM_SSP2_ST_CCS_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_ST_CCS_2Degree	Above2C
AIM/CGE 2.0-SFCM_SSP2_ST_CCS_Baseline	Above2C
AIM/CGE 2.0-SFCM_SSP2_ST_bio_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_ST_bio_2Degree	Above2C
AIM/CGE 2.0-SFCM_SSP2_ST_bio_Baseline	Above2C
AIM/CGE 2.0-SFCM_SSP2_ST_nuclear_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_ST_nuclear_2Degree	excluded
AIM/CGE 2.0-SFCM_SSP2_ST_nuclear_Baseline	Above2C
AIM/CGE 2.0-SFCM_SSP2_ST_solar_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_ST_solar_2Degree	excluded
AIM/CGE 2.0-SFCM_SSP2_ST_solar_Baseline	Above2C
AIM/CGE 2.0-SFCM_SSP2_ST_wind_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_ST_wind_2Degree	excluded
AIM/CGE 2.0-SFCM_SSP2_ST_wind_Baseline	Above2C
AIM/CGE 2.0-SFCM_SSP2_SupTech_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_SupTech_2Degree	Above2C
AIM/CGE 2.0-SFCM_SSP2_SupTech_Baseline	Above2C
AIM/CGE 2.0-SFCM_SSP2_combined_1p5Degree	2C
AIM/CGE 2.0-SFCM_SSP2_combined_2Degree	excluded
AIM/CGE 2.0-SFCM_SSP2_combined_Baseline	Above2C
